condition,filename,identity,image_type,landmark_detection_success,alignment_applied,fallback_used,latency_ms
Baseline,F2-005-01-sz1.jpg,F2-005,query_sketch,False,False,False,684.72
Baseline,F2-006-01-sz1.jpg,F2-006,query_sketch,False,False,False,607.64
Baseline,F2-007-01-sz1.jpg,F2-007,query_sketch,False,False,False,390.41
Baseline,F2-008-01-sz1.jpg,F2-008,query_sketch,False,False,False,661.69
Baseline,F2-009-01-sz1.jpg,F2-009,query_sketch,False,False,False,943.56
Baseline,F2-010-01-sz1.jpg,F20,query_sketch,False,False,False,388.9
Baseline,F2-011-01-sz1.jpg,F21,query_sketch,False,False,False,367.11
Baseline,F2-012-01-sz1.jpg,F22,query_sketch,False,False,False,843.06
Baseline,F2-013-01-sz1.jpg,F23,query_sketch,False,False,False,672.77
Baseline,F2-014-01-sz1.jpg,F24,query_sketch,False,False,False,421.21
Baseline,F2-015-01-sz1.jpg,F25,query_sketch,False,False,False,718.62
Baseline,F2-016-01-sz1.jpg,F26,query_sketch,False,False,False,761.13
Baseline,F2-017-01-sz1.jpg,F27,query_sketch,False,False,False,478.44
Baseline,F2-018-01-sz1.jpg,F28,query_sketch,False,False,False,635.08
Baseline,F2-019-01-sz1.jpg,F29,query_sketch,False,False,False,534.44
Baseline,F2-020-01-sz1.jpg,F2-020,query_sketch,False,False,False,413.02
Baseline,F2-021-01-sz1.jpg,F2-021,query_sketch,False,False,False,596.88
Baseline,F2-022-01-sz1.jpg,F2-022,query_sketch,False,False,False,666.9
Baseline,F2-023-01-sz1.jpg,F2-023,query_sketch,False,False,False,407.08
Baseline,F2-024-01-sz1.jpg,F2-024,query_sketch,False,False,False,383.19
Baseline,F2-025-01-sz1.jpg,F2-025,query_sketch,False,False,False,490.14
Baseline,F2-026-01-sz1.jpg,F2-026,query_sketch,False,False,False,578.18
Baseline,F2-027-01-sz1.jpg,F2-027,query_sketch,False,False,False,357.8
Baseline,F2-028-01-sz1.jpg,F2-028,query_sketch,False,False,False,590.25
Baseline,F2-029-01-sz1.jpg,F2-029,query_sketch,False,False,False,505.07
Baseline,F2-030-01-sz1.jpg,F2-030,query_sketch,False,False,False,593.07
Baseline,F2-031-01-sz1.jpg,F2-031,query_sketch,False,False,False,534.62
Baseline,F2-032-01-sz1.jpg,F2-032,query_sketch,False,False,False,488.28
Baseline,F2-033-01-sz1.jpg,F2-033,query_sketch,False,False,False,602.76
Baseline,F2-034-01-sz1.jpg,F2-034,query_sketch,False,False,False,418.55
Baseline,F2-035-01-sz1.jpg,F2-035,query_sketch,False,False,False,537.41
Baseline,F2-036-01-sz1.jpg,F2-036,query_sketch,False,False,False,657.33
Baseline,F2-037-01-sz1.jpg,F2-037,query_sketch,False,False,False,465.75
Baseline,F2-038-01-sz1.jpg,F2-038,query_sketch,False,False,False,576.08
Baseline,M2-008-01-sz1.jpg,M2-008,query_sketch,False,False,False,411.87
Baseline,M2-009-01-sz1.jpg,M2-009,query_sketch,False,False,False,364.98
Baseline,M2-010-01-sz1.jpg,M20,query_sketch,False,False,False,350.33
Baseline,M2-011-01-sz1.jpg,M21,query_sketch,False,False,False,555.12
Baseline,M2-012-01-sz1.jpg,M22,query_sketch,False,False,False,768.52
Baseline,M2-013-01-sz1.jpg,M23,query_sketch,False,False,False,414.82
Baseline,M2-014-01-sz1.jpg,M24,query_sketch,False,False,False,340.46
Baseline,M2-015-01-sz1.jpg,M25,query_sketch,False,False,False,403.95
Baseline,M2-016-01-sz1.jpg,M26,query_sketch,False,False,False,485.09
Baseline,M2-017-01-sz1.jpg,M27,query_sketch,False,False,False,505.47
Baseline,M2-018-01-sz1.jpg,M28,query_sketch,False,False,False,294.59
Baseline,M2-019-01-sz1.jpg,M29,query_sketch,False,False,False,294.5
Baseline,M2-021-01-sz1.jpg,M2-021,query_sketch,False,False,False,726.32
Baseline,M2-022-01-sz1.jpg,M2-022,query_sketch,False,False,False,602.35
Baseline,M2-023-01-sz1.jpg,M2-023,query_sketch,False,False,False,375.81
Baseline,M2-024-01-sz1.jpg,M2-024,query_sketch,False,False,False,589.84
Baseline,M2-025-01-sz1.jpg,M2-025,query_sketch,False,False,False,689.42
Baseline,M2-026-01-sz1.jpg,M2-026,query_sketch,False,False,False,321.41
Baseline,M2-027-01-sz1.jpg,M2-027,query_sketch,False,False,False,488.67
Baseline,M2-028-01-sz1.jpg,M2-028,query_sketch,False,False,False,823.94
Baseline,M2-029-01-sz1.jpg,M2-029,query_sketch,False,False,False,461.77
Baseline,M2-030-01-sz1.jpg,M2-030,query_sketch,False,False,False,559.49
Baseline,M2-031-01-sz1.jpg,M2-031,query_sketch,False,False,False,528.33
Baseline,M2-032-01-sz1.jpg,M2-032,query_sketch,False,False,False,673.17
Baseline,M2-033-01-sz1.jpg,M2-033,query_sketch,False,False,False,757.21
Baseline,M2-034-01-sz1.jpg,M2-034,query_sketch,False,False,False,381.82
Baseline,M2-035-01-sz1.jpg,M2-035,query_sketch,False,False,False,669.31
Baseline,M2-036-01-sz1.jpg,M2-036,query_sketch,False,False,False,756.87
Baseline,M2-037-01-sz1.jpg,M2-037,query_sketch,False,False,False,473.41
Baseline,M2-038-01-sz1.jpg,M2-038,query_sketch,False,False,False,453.74
Baseline,M2-039-01-sz1.jpg,M2-039,query_sketch,False,False,False,466.21
Baseline,M2-040-01-sz1.jpg,M2-040,query_sketch,False,False,False,687.25
Baseline,M2-041-01-sz1.jpg,M2-041,query_sketch,False,False,False,417.71
Baseline,M2-042-01-sz1.jpg,M2-042,query_sketch,False,False,False,413.8
Baseline,M2-043-01-sz1.jpg,M2-043,query_sketch,False,False,False,390.65
Baseline,M2-044-01-sz1.jpg,M2-044,query_sketch,False,False,False,522.02
Baseline,M2-045-01-sz1.jpg,M2-045,query_sketch,False,False,False,516.75
Baseline,M2-046-01-sz1.jpg,M2-046,query_sketch,False,False,False,566.55
Baseline,M2-047-01-sz1.jpg,M2-047,query_sketch,False,False,False,371.92
Baseline,M2-048-01-sz1.jpg,M2-048,query_sketch,False,False,False,349.42
Baseline,M2-049-01-sz1.jpg,M2-049,query_sketch,False,False,False,1128.57
Baseline,M2-050-01-sz1.jpg,M2-050,query_sketch,False,False,False,288.75
Baseline,M2-051-01-sz1.jpg,M2-051,query_sketch,False,False,False,589.49
Baseline,M2-052-01-sz1.jpg,M2-052,query_sketch,False,False,False,734.8
Baseline,M2-053-01-sz1.jpg,M2-053,query_sketch,False,False,False,541.03
Baseline,M2-054-01-sz1.jpg,M2-054,query_sketch,False,False,False,657.54
Baseline,M2-055-01-sz1.jpg,M2-055,query_sketch,False,False,False,454.6
Baseline,M2-056-01-sz1.jpg,M2-056,query_sketch,False,False,False,513.14
Baseline,M2-057-01-sz1.jpg,M2-057,query_sketch,False,False,False,691.53
Baseline,M2-058-01-sz1.jpg,M2-058,query_sketch,False,False,False,661.66
Baseline,M2-059-01-sz1.jpg,M2-059,query_sketch,False,False,False,757.34
Baseline,M2-060-01-sz1.jpg,M2-060,query_sketch,False,False,False,386.1
Baseline,M2-061-01-sz1.jpg,M2-061,query_sketch,False,False,False,487.93
Baseline,M2-062-01-sz1.jpg,M2-062,query_sketch,False,False,False,492.2
Baseline,a-sharukh-1.jpg,a-sharukh-1,query_sketch,False,False,False,728.72
Baseline,a-sharukh-2.jpg,a-sharukh-2,query_sketch,False,False,False,616.95
Baseline,f-039-01-sz1.jpg,f-039,query_sketch,False,False,False,637.0
Baseline,f-040-01-sz1.jpg,f-040,query_sketch,False,False,False,800.75
Baseline,f-041-01-sz1.jpg,f-041,query_sketch,False,False,False,717.62
Baseline,f-042-01-sz1.jpg,f-042,query_sketch,False,False,False,526.18
Baseline,f-043-01-sz1.jpg,f-043,query_sketch,False,False,False,618.55
Baseline,f1-001-01-sz1.jpg,f1-001,query_sketch,False,False,False,744.41
Baseline,f1-002-01-sz1.jpg,f1-002,query_sketch,False,False,False,1047.45
Baseline,f1-003-01-sz1.jpg,f1-003,query_sketch,False,False,False,1084.02
Baseline,f1-004-01-sz1.jpg,f1-004,query_sketch,False,False,False,758.74
Baseline,f1-005-01-sz1.jpg,f1-005,query_sketch,False,False,False,415.61
